OBJECTID,DATE,COUNTY,FACILITY_NAME,Staff_Private,Residents_Private,Staff_Public,Patients_Public,Inmates_Public,Youth_Public
6239,2020/06/03 14:00:00+00,Baltimore County,Woodholme Garden,1,0,,,,
6240,2020/06/03 14:00:00+00,Calvert,Asbury Solomons,2,0,,,,
6241,2020/06/03 14:00:00+00,Calvert,Solomons Nursing Center,1,1,,,,
6242,2020/06/03 14:00:00+00,Caroline,Autumn Lake Healthcare at Denton,0,1,,,,
6243,2020/06/03 14:00:00+00,Carroll,Birch Manor Healthcare Center,0,20,,,,
6244,2020/06/03 14:00:00+00,Carroll,Brinton Woods Health & Rehabilitation Center at Winfield,0,28,,,,
6245,2020/06/03 14:00:00+00,Carroll,Carroll Lutheran Village,15,44,,,,
6246,2020/06/03 14:00:00+00,Carroll,Central Maryland Correctional Facility (Formerly CLF),,,17,,7,
6247,2020/06/03 14:00:00+00,Carroll,Copper Ridge,0,3,,,,
6248,2020/06/03 14:00:00+00,Carroll,Fairhaven,23,47,,,,
6249,2020/06/03 14:00:00+00,Carroll,Longview Nursing Home Inc.,12,34,,,,
6250,2020/06/03 14:00:00+00,Carroll,Lorien Mount Airy,17,14,,,,
6251,2020/06/03 14:00:00+00,Carroll,Lorien Taneytown,0,2,,,,
6252,2020/06/03 14:00:00+00,Carroll,Silver Oak Academy,18,27,,,,
6253,2020/06/03 14:00:00+00,Carroll,Springfield Hospital Center,,,15,5,,
6254,2020/06/03 14:00:00+00,Carroll,Westminster Healthcare Center,12,65,,,,
6255,2020/06/03 14:00:00+00,Cecil,Calvert Manor Healthcare Center,17,112,,,,
6256,2020/06/03 14:00:00+00,Charles,Genesis La Plata,8,0,,,,
6257,2020/06/03 14:00:00+00,Charles,Genesis Waldorf,4,0,,,,
6258,2020/06/03 14:00:00+00,Charles,Morningside House of St Charles,0,1,,,,
6259,2020/06/03 14:00:00+00,Charles,Restore Health Rehabilitation Center,6,10,,,,
6260,2020/06/03 14:00:00+00,Charles,The Charleston Senior Community,10,34,,,,
6261,2020/06/03 14:00:00+00,Dorchester,Chesapeake Woods Center,4,3,,,,
6262,2020/06/03 14:00:00+00,Dorchester,Dorcester County Detention Center,,,3,0,,
6263,2020/06/03 14:00:00+00,Dorchester,Eastern Shore Hospital Center,,,3,0,,
6264,2020/06/03 14:00:00+00,Dorchester,Signature Healthcare at Mallard Bay,1,0,,,,
6265,2020/06/03 14:00:00+00,Frederick,Ballenger Creek - Genesis Healthcare,53,89,,,,
6266,2020/06/03 14:00:00+00,Frederick,Citizens Care and Rehabilitation Center - Frederick,14,14,,,,
6267,2020/06/03 14:00:00+00,Frederick,Country Meadows of Frederick,22,30,,,,
6268,2020/06/03 14:00:00+00,Frederick,Glade Valley Center - Genesis Healthcare,9,19,,,,
6269,2020/06/03 14:00:00+00,Frederick,HeartFields Assisted Living at Frederick,18,10,,,,
6270,2020/06/03 14:00:00+00,Frederick,Homewood at Frederick,46,43,,,,
6271,2020/06/03 14:00:00+00,Frederick,Montevue Assisted Living,0,5,,,,
6272,2020/06/03 14:00:00+00,Frederick,Northampton Manor Nursing and Rehabilitation Center,21,68,,,,
6273,2020/06/03 14:00:00+00,Frederick,Somerford House Frederick,8,3,,,,
6274,2020/06/03 14:00:00+00,Garrett,Dennett Road Manor,3,4,,,,
6275,2020/06/03 14:00:00+00,Harford,Bel Air Health and Rehabilitation Center,31,85,,,,
6276,2020/06/03 14:00:00+00,Harford,Citizens Care and Rehabilitation Center - Havre de Grace,1,0,,,,
6277,2020/06/03 14:00:00+00,Howard,Arbor Terrace Fulton,6,1,,,,
6278,2020/06/03 14:00:00+00,Howard,Ellicott City Healthcare Center,35,109,,,,
6279,2020/06/03 14:00:00+00,Howard,HeartLands Senior Living Village at Ellicott City,1,2,,,,
6280,2020/06/03 14:00:00+00,Howard,Howard County Detention Center,,,3,0,,
6281,2020/06/03 14:00:00+00,Howard,Lorien Columbia,5,19,,,,
6282,2020/06/03 14:00:00+00,Howard,Lorien Elkridge,3,15,,,,
6283,2020/06/03 14:00:00+00,Howard,Lorien Harmony Hall,2,0,,,,
6284,2020/06/03 14:00:00+00,Howard,Lutheran Village at Miller's Grant,7,1,,,,
6285,2020/06/03 14:00:00+00,Howard,Morningside House of Ellicott City,3,10,,,,
6286,2020/06/03 14:00:00+00,Howard,Residences at Vantage Point,20,6,,,,
6287,2020/06/03 14:00:00+00,Howard,Shangri-La Assisted Living,1,2,,,,
6288,2020/06/03 14:00:00+00,Howard,Somerford Place Columbia,6,19,,,,
6289,2020/06/03 14:00:00+00,Howard,Sunrise of Columbia,8,17,,,,
6290,2020/06/03 14:00:00+00,Kent,Peak Healthcare Chestertown,13,60,,,,
6291,2020/06/03 14:00:00+00,Kent,The Resort at Chester Manor,10,34,,,,
6292,2020/06/03 14:00:00+00,Montgomery,Alfred D. Noyes Children's Center,,,1,,,0
6293,2020/06/03 14:00:00+00,Montgomery,Alfred House One,0,2,,,,
6294,2020/06/03 14:00:00+00,Montgomery,Arbor Place,3,9,,,,
6295,2020/06/03 14:00:00+00,Montgomery,Arcola Health and Rehabilitation Center,15,25,,,,
6296,2020/06/03 14:00:00+00,Montgomery,Arden Courts of Kensington,3,23,,,,
6297,2020/06/03 14:00:00+00,Montgomery,Arden Courts of Silver Spring,5,43,,,,
6298,2020/06/03 14:00:00+00,Montgomery,Aspenwood Senior Living Community,2,2,,,,
6299,2020/06/03 14:00:00+00,Montgomery,Autumn Lake Healthcare at Oakview,18,63,,,,
6300,2020/06/03 14:00:00+00,Montgomery,Bethesda Health and Rehab,25,68,,,,
6301,2020/06/03 14:00:00+00,Montgomery,Brighton Gardens at Friendship Heights,0,2,,,,
6302,2020/06/03 14:00:00+00,Montgomery,Brighton Gardens of Tuckerman Lane,25,25,,,,
6303,2020/06/03 14:00:00+00,Montgomery,Brightview Fallsgrove-Rockville Senior Assisted Living and Memory Care,10,3,,,,
6304,2020/06/03 14:00:00+00,Montgomery,Brightview West End - Brightview Senior Living,5,4,,,,
6305,2020/06/03 14:00:00+00,Montgomery,Brightview Woodmont Bethesda,3,1,,,,
6306,2020/06/03 14:00:00+00,Montgomery,Brookdale Olney,1,5,,,,
6307,2020/06/03 14:00:00+00,Montgomery,Brookdale Potomac Assisted Living,4,16,,,,
6308,2020/06/03 14:00:00+00,Montgomery,Brooke Grove Retirement Community,28,67,,,,
6309,2020/06/03 14:00:00+00,Montgomery,Brookeville House,2,3,,,,
6310,2020/06/03 14:00:00+00,Montgomery,"Cadia Healthcare of Springbrook, MD",16,20,,,,
6311,2020/06/03 14:00:00+00,Montgomery,Cadia Healthcare Wheaton,12,42,,,,
6312,2020/06/03 14:00:00+00,Montgomery,Collingswood Rehabilitation and Healthcare Center,43,108,,,,
6313,2020/06/03 14:00:00+00,Montgomery,Fairland Center,10,4,,,,
6314,2020/06/03 14:00:00+00,Montgomery,Fox Chase Rehabilitation & Nursing,9,7,,,,
6315,2020/06/03 14:00:00+00,Montgomery,Hebrew Home of Greater Washington,50,61,,,,
6316,2020/06/03 14:00:00+00,Montgomery,JK House of Grace,7,14,,,,
6317,2020/06/03 14:00:00+00,Montgomery,Kensington Healthcare Center,27,53,,,,
6318,2020/06/03 14:00:00+00,Montgomery,Kensington Park,31,29,,,,
6319,2020/06/03 14:00:00+00,Montgomery,Kindley Assisted Living at Asbury Methodist Village,6,2,,,,
6320,2020/06/03 14:00:00+00,Montgomery,Layhill Center,3,19,,,,
6321,2020/06/03 14:00:00+00,Montgomery,Manor Care Silver Spring,29,69,,,,
6322,2020/06/03 14:00:00+00,Montgomery,Manor Care Wheaton,21,58,,,,
6323,2020/06/03 14:00:00+00,Montgomery,ManorCare Health Services - Chevy Chase,14,42,,,,
6324,2020/06/03 14:00:00+00,Montgomery,ManorCare Health Services Bethesda,14,60,,,,
6325,2020/06/03 14:00:00+00,Montgomery,ManorCare Potomac,27,66,,,,
6326,2020/06/03 14:00:00+00,Montgomery,"Maplewood of Park Place, Sunrise Senior Living",9,2,,,,
6327,2020/06/03 14:00:00+00,Montgomery,Marian Assisted Living,6,18,,,,
6328,2020/06/03 14:00:00+00,Montgomery,Montgomery Village Health Care Center,27,57,,,,
6329,2020/06/03 14:00:00+00,Montgomery,Oak Manor Center,7,12,,,,
6330,2020/06/03 14:00:00+00,Montgomery,Olney Memory Care,6,9,,,,
6331,2020/06/03 14:00:00+00,Montgomery,Potomac Valley Rehabilitation and Healthcare Center,45,92,,,,
6332,2020/06/03 14:00:00+00,Montgomery,Regency Care of Silver Spring,33,54,,,,
6333,2020/06/03 14:00:00+00,Montgomery,Seabury at Springvale Terrace,4,0,,,,
6334,2020/06/03 14:00:00+00,Montgomery,Shady Grove Center for Nursing & Rehabilitation,19,54,,,,
6335,2020/06/03 14:00:00+00,Montgomery,Sligo Creek Center - Genesis Healthcare,8,23,,,,
6336,2020/06/03 14:00:00+00,Montgomery,Sunrise at Montgomery Village,33,27,,,,
6337,2020/06/03 14:00:00+00,Montgomery,Sunrise Senior Living - Sunrise at Fox Hill,9,10,,,,
6338,2020/06/03 14:00:00+00,Montgomery,Sunrise Senior Living Bethesda,26,16,,,,
6339,2020/06/03 14:00:00+00,Montgomery,The Landing of Silver Spring,17,14,,,,
6340,2020/06/03 14:00:00+00,Montgomery,The Manor,1,1,,,,
6341,2020/06/03 14:00:00+00,Montgomery,Tribute at Black Hill,7,4,,,,
6342,2020/06/03 14:00:00+00,Montgomery,Village at Rockville,22,41,,,,
6343,2020/06/03 14:00:00+00,Montgomery,Wilson Health Care Center at Asbury Methodist Village,37,76,,,,
6344,2020/06/03 14:00:00+00,Montgomery,Wintergrowth Assisted Living,2,11,,,,
6345,2020/06/03 14:00:00+00,Prince George's,Adelphi Nursing and Rehabilitation,14,58,,,,
6346,2020/06/03 14:00:00+00,Prince George's,Arbor Terrace Senior Living,0,1,,,,
6347,2020/06/03 14:00:00+00,Prince George's,Autumn Lake Healthcare at Cherry Lane,29,101,,,,
6348,2020/06/03 14:00:00+00,Prince George's,Bradford Oaks Center,14,0,,,,
6349,2020/06/03 14:00:00+00,Prince George's,Brookdale Woodward Estates,5,7,,,,
6350,2020/06/03 14:00:00+00,Prince George's,Cadia Hyattsville,41,89,,,,
6351,2020/06/03 14:00:00+00,Prince George's,Clinton Nursing and Rehabilitation Center,41,156,,,,
6352,2020/06/03 14:00:00+00,Prince George's,Collington,14,12,,,,
6353,2020/06/03 14:00:00+00,Prince George's,Crescent Cities,7,34,,,,
6354,2020/06/03 14:00:00+00,Prince George's,Doctors Community Rehabilitation and Patient Care Center,16,29,,,,
6355,2020/06/03 14:00:00+00,Prince George's,Elizabeth Manor,2,5,,,,
6356,2020/06/03 14:00:00+00,Prince George's,Forestville Healthcare Center,12,40,,,,
6357,2020/06/03 14:00:00+00,Prince George's,Fort Washington Health Center,11,42,,,,
6358,2020/06/03 14:00:00+00,Prince George's,Future Care Capitol Region,28,37,,,,
6359,2020/06/03 14:00:00+00,Prince George's,Future Care Pineview,23,47,,,,
6360,2020/06/03 14:00:00+00,Prince George's,"Hillhaven Assisted Living, Nursing and Rehabilitation Center",26,38,,,,
6361,2020/06/03 14:00:00+00,Prince George's,Hyattsville Health and Rehab,12,45,,,,
6362,2020/06/03 14:00:00+00,Prince George's,Largo Nursing & Rehabilitation Center,11,39,,,,
6363,2020/06/03 14:00:00+00,Prince George's,Larkin Chase Center,25,80,,,,
6364,2020/06/03 14:00:00+00,Prince George's,Patuxent River Health and Rehabilitation Center,29,52,,,,
6365,2020/06/03 14:00:00+00,Prince George's,Prince George's County Jail,,,36,24,,
6366,2020/06/03 14:00:00+00,Prince George's,Riderwood Village - Arbor Ridge,91,61,,,,
6367,2020/06/03 14:00:00+00,Prince George's,Sacred Heart Home Inc,12,14,,,,
6368,2020/06/03 14:00:00+00,Prince George's,Villa Rosa Nursing & Rehabilitation Center,4,26,,,,
6369,2020/06/03 14:00:00+00,Queen Anne's,Corsica Hills Center,12,12,,,,
6370,2020/06/03 14:00:00+00,Somerset,Eastern Correctional Institution,,,2,,0,
6371,2020/06/03 14:00:00+00,Somerset,Eastern Correctional Institution Annex,,,1,,0,
6372,2020/06/03 14:00:00+00,Somerset,Manokin Rehab and Healthcare Services,0,1,,,,
6373,2020/06/03 14:00:00+00,St. Mary's,Charlotte Hall Veterans Home,78,196,,,,
6374,2020/06/03 14:00:00+00,St. Mary's,Chesapeake Shores,6,2,,,,
6375,2020/06/03 14:00:00+00,St. Mary's,Southern Maryland Pre-Release Unit,,,2,,0,
6376,2020/06/03 14:00:00+00,Talbot,Bayleigh Chase,1,0,,,,
6377,2020/06/03 14:00:00+00,Talbot,Peake Healthcare at the Pines,1,4,,,,
6378,2020/06/03 14:00:00+00,Washington,Cadia Healthcare - Hagerstown,3,0,,,,
6379,2020/06/03 14:00:00+00,Washington,Fahrney Keedy Memorial Home and Village,1,0,,,,
6380,2020/06/03 14:00:00+00,Washington,Hagerstown Healthcare Center,1,0,,,,
6381,2020/06/03 14:00:00+00,Washington,Homewood Hilltop,1,5,,,,
6382,2020/06/03 14:00:00+00,Washington,Maryland Correctional Institution Hagerstown,,,1,,0,
6383,2020/06/03 14:00:00+00,Washington,Maryland Correctional Training Center,,,8,,0,
6384,2020/06/03 14:00:00+00,Washington,Ravenwood Nursing Care Center,3,0,,,,
6385,2020/06/03 14:00:00+00,Washington,Roxbury Correctional Institution,,,0,,1,
6386,2020/06/03 14:00:00+00,Washington,Sterling Care South Mountain,9,43,,,,
6387,2020/06/03 14:00:00+00,Washington,Western Maryland Hospital Center,,,1,0,,
6388,2020/06/03 14:00:00+00,Wicomico,Anchorage Healthcare Center,5,25,,,,
6389,2020/06/03 14:00:00+00,Wicomico,Salisbury Rehabilitation and Nursing Center,35,65,,,,
6390,2020/06/03 14:00:00+00,Wicomico,Sterling Care at Harbor Point,1,0,,,,
6391,2020/06/03 14:00:00+00,Worcester,Berlin Nursing and Rehabilitation Center,27,64,,,,
6392,2020/06/03 14:00:00+00,Worcester,Peake Healthcare at Hartley Hall (Autumn Lake Healthcare at Hartley Hall),1,0,,,,
6393,2020/06/10 14:00:00+00,Allegany,Cumberland Healthcare Center,36,88,,,,
6394,2020/06/10 14:00:00+00,Allegany,North Branch Correctional Institution,,,1,,0,
6395,2020/06/10 14:00:00+00,Allegany,Sterling Care Frostburg Village,2,9,,,,
6396,2020/06/10 14:00:00+00,Allegany,The Thomas B. Finan Center,,,0,1,,
6397,2020/06/10 14:00:00+00,Allegany,Western Correctional Institution,,,2,,0,
6398,2020/06/10 14:00:00+00,Anne Arundel,Anne Arundel Detention Center Jennifer Road,,,3,0,,
6399,2020/06/10 14:00:00+00,Anne Arundel,Baywoods of Annapolis,14,15,,,,
6400,2020/06/10 14:00:00+00,Anne Arundel,Brightview South River - Senior Assisted Living and Memory Care,2,1,,,,
6401,2020/06/10 14:00:00+00,Anne Arundel,Crofton Care and Rehabilitation,10,55,,,,
6402,2020/06/10 14:00:00+00,Anne Arundel,Dorsey Run Correctional Facility,,,34,,37,
6403,2020/06/10 14:00:00+00,Anne Arundel,Genesis Hammonds Lane,0,1,,,,
6404,2020/06/10 14:00:00+00,Anne Arundel,Genesis Severna Park,5,10,,,,
6405,2020/06/10 14:00:00+00,Anne Arundel,Genesis Waugh Chapel,17,57,,,,
6406,2020/06/10 14:00:00+00,Anne Arundel,Glen Burnie Health and Rehabilitation Center,13,46,,,,
6407,2020/06/10 14:00:00+00,Anne Arundel,Heritage Harbour Health and Rehabilitation Center,10,32,,,,
6408,2020/06/10 14:00:00+00,Anne Arundel,Jessup Correctional Institution *Including Baltimore Pretrial Complex (BPFJ),,,55,,87,
6409,2020/06/10 14:00:00+00,Anne Arundel,Marley Neck Health and Rehabilitation Center,9,24,,,,
6410,2020/06/10 14:00:00+00,Anne Arundel,Maryland Correctional Institution - Jessup,,,31,,15,
6411,2020/06/10 14:00:00+00,Anne Arundel,Maryland Correctional Institution for Women,,,52,,23,
6412,2020/06/10 14:00:00+00,Anne Arundel,North Arundel Health and Rehabilitation Center,29,49,,,,
6413,2020/06/10 14:00:00+00,Anne Arundel,Patuxent Institution *Including Correctional Mental Health Center-Jessup,,,56,,19,
6414,2020/06/10 14:00:00+00,Anne Arundel,Regency Park Assisted Living,0,13,,,,
6415,2020/06/10 14:00:00+00,Anne Arundel,Somerford Assisted Living,6,7,,,,
6416,2020/06/10 14:00:00+00,Anne Arundel,Spa Creek Center,15,32,,,,
6417,2020/06/10 14:00:00+00,Anne Arundel,The Peartree House Assisted Living,1,0,,,,
6418,2020/06/10 14:00:00+00,Anne Arundel,Waxter Center,,,1,,,0
6419,2020/06/10 14:00:00+00,Baltimore City,Autumn Lake at Alice Manor,5,0,,,,
6420,2020/06/10 14:00:00+00,Baltimore City,Autumn Lake Healthcare at Bridgepark,20,59,,,,
6421,2020/06/10 14:00:00+00,Baltimore City,Baltimore Central Booking and Intake Center,,,43,,31,
6422,2020/06/10 14:00:00+00,Baltimore City,Baltimore City Correctional Center,,,2,,0,
6423,2020/06/10 14:00:00+00,Baltimore City,Blue Point Healthcare Center,14,81,,,,
6424,2020/06/10 14:00:00+00,Baltimore City,Chesapeake Detention Facility (Formerly MCAC),,,8,,1,
6425,2020/06/10 14:00:00+00,Baltimore City,Esther's Place at Pinewood,1,11,,,,
6426,2020/06/10 14:00:00+00,Baltimore City,Fayette Health and Rehabilitation Center,45,56,,,,
6427,2020/06/10 14:00:00+00,Baltimore City,Future Care Irvington,39,79,,,,
6428,2020/06/10 14:00:00+00,Baltimore City,FutureCare Good Samaritan,17,31,,,,
6429,2020/06/10 14:00:00+00,Baltimore City,FutureCare Lochearn,99,158,,,,
6430,2020/06/10 14:00:00+00,Baltimore City,FutureCare Sandtown,45,58,,,,
6431,2020/06/10 14:00:00+00,Baltimore City,Genesis Homewood Center,0,1,,,,
6432,2020/06/10 14:00:00+00,Baltimore City,Keswick Multi-Care Center,14,16,,,,
6433,2020/06/10 14:00:00+00,Baltimore City,Levindale Hebrew Geriatric Center and Hospital,42,58,,,,
6434,2020/06/10 14:00:00+00,Baltimore City,Manor Care Roland Park,3,14,,,,
6435,2020/06/10 14:00:00+00,Baltimore City,"Maryland Reception, Diagnostic and Classification Center",,,32,,3,
6436,2020/06/10 14:00:00+00,Baltimore City,Metropolitan Transition Center,,,43,,15,
6437,2020/06/10 14:00:00+00,Baltimore City,Northwest Health and Rehab Center,3,0,,,,
6438,2020/06/10 14:00:00+00,Baltimore City,Nursing and Rehab Center at Stadium Place,8,3,,,,
6439,2020/06/10 14:00:00+00,Baltimore City,Peak Health Caton Manor,19,52,,,,
6440,2020/06/10 14:00:00+00,Baltimore City,Post Acute Care Center,21,73,,,,
6441,2020/06/10 14:00:00+00,Baltimore City,Roland Park Place,11,10,,,,
6442,2020/06/10 14:00:00+00,Baltimore City,Rosemarie Manor Inc.,1,0,,,,
6443,2020/06/10 14:00:00+00,Baltimore City,The Neighborhoods at St. Elizabeth Rehabilitation & Nursing Center,22,29,,,,
6444,2020/06/10 14:00:00+00,Baltimore City,Westgate Hills Rehabilitation & Healthcare Center,18,62,,,,
6445,2020/06/10 14:00:00+00,Baltimore City,Youth Detention Center,,,2,,1,
6446,2020/06/10 14:00:00+00,Baltimore County,Arden Courts of Pikesville,1,12,,,,
6447,2020/06/10 14:00:00+00,Baltimore County,Atrium Village,7,12,,,,
6448,2020/06/10 14:00:00+00,Baltimore County,Autumn Lake Healthcare at Riverview,14,6,,,,
6449,2020/06/10 14:00:00+00,Baltimore County,Autumn Lake Pikesville,12,61,,,,
6450,2020/06/10 14:00:00+00,Baltimore County,Baltimore County Detention Center,,,6,8,,
6451,2020/06/10 14:00:00+00,Baltimore County,Blakehurst Lifecare Community,14,0,,,,
6452,2020/06/10 14:00:00+00,Baltimore County,Brightview Assisted Living Catonsville,1,0,,,,
6453,2020/06/10 14:00:00+00,Baltimore County,Brightview Mays Chapel Hill,1,1,,,,
6454,2020/06/10 14:00:00+00,Baltimore County,Brightview White Marsh - Brightview Senior Living,3,0,,,,
6455,2020/06/10 14:00:00+00,Baltimore County,Broadmead,7,14,,,,
6456,2020/06/10 14:00:00+00,Baltimore County,Chapel Hill Nursing and Rehabilitation Center,1,3,,,,
6457,2020/06/10 14:00:00+00,Baltimore County,"Charles H. Hickey, Jr. School",,,1,,,0
6458,2020/06/10 14:00:00+00,Baltimore County,Charlestown Senior Living Community,34,31,,,,
6459,2020/06/10 14:00:00+00,Baltimore County,Edenwald,10,1,,,,
6460,2020/06/10 14:00:00+00,Baltimore County,Forest Haven Nursing & Rehab Center,38,71,,,,
6461,2020/06/10 14:00:00+00,Baltimore County,Frederick Villa Nursing and Rehabilitation Center,41,74,,,,
6462,2020/06/10 14:00:00+00,Baltimore County,Futurecare Cherrywood,54,95,,,,
6463,2020/06/10 14:00:00+00,Baltimore County,FutureCare Courtland,26,74,,,,
6464,2020/06/10 14:00:00+00,Baltimore County,FutureCare Northpoint,26,45,,,,
6465,2020/06/10 14:00:00+00,Baltimore County,FutureCare Old Court,44,80,,,,
6466,2020/06/10 14:00:00+00,Baltimore County,Genesis Catonsville Commons,18,54,,,,
6467,2020/06/10 14:00:00+00,Baltimore County,Genesis Cromwell Center,13,43,,,,
6468,2020/06/10 14:00:00+00,Baltimore County,Genesis Eldercare Franklin Woods,2,1,,,,
6469,2020/06/10 14:00:00+00,Baltimore County,Genesis Loch Raven,28,69,,,,
6470,2020/06/10 14:00:00+00,Baltimore County,Genesis Long Green,4,0,,,,
6471,2020/06/10 14:00:00+00,Baltimore County,Genesis Multi-Medical Center,4,1,,,,
6472,2020/06/10 14:00:00+00,Baltimore County,Genesis Perring Parkway,1,0,,,,
6473,2020/06/10 14:00:00+00,Baltimore County,Glen Meadows Retirement Community,9,14,,,,
6474,2020/06/10 14:00:00+00,Baltimore County,Greater Baltimore Medical Center Sub Acute Unit,1,0,,,,
6475,2020/06/10 14:00:00+00,Baltimore County,Heritage Center Genesis Eldercare,8,37,,,,
6476,2020/06/10 14:00:00+00,Baltimore County,Holly Hills Manor,21,39,,,,
6477,2020/06/10 14:00:00+00,Baltimore County,King David Nursing and Rehabilitation Center,7,15,,,,
6478,2020/06/10 14:00:00+00,Baltimore County,Lorien Mays Chapel,2,0,,,,
6479,2020/06/10 14:00:00+00,Baltimore County,ManorCare Health Services - Ruxton,28,64,,,,
6480,2020/06/10 14:00:00+00,Baltimore County,ManorCare Health Services- Rossville,19,61,,,,
6481,2020/06/10 14:00:00+00,Baltimore County,ManorCare Health Services- Towson,1,1,,,,
6482,2020/06/10 14:00:00+00,Baltimore County,Maria Health Care Center,7,0,,,,
6483,2020/06/10 14:00:00+00,Baltimore County,Meadow Park Rehabilitation and Healthcare,22,32,,,,
6484,2020/06/10 14:00:00+00,Baltimore County,North Oak,4,4,,,,
6485,2020/06/10 14:00:00+00,Baltimore County,Northwest Hospital Center - Subacute rehab facility,11,7,,,,
6486,2020/06/10 14:00:00+00,Baltimore County,Oak Crest,19,31,,,,
6487,2020/06/10 14:00:00+00,Baltimore County,Oakwood Care Center,18,76,,,,
6488,2020/06/10 14:00:00+00,Baltimore County,Orchard Hill Health and Rehab,7,47,,,,
6489,2020/06/10 14:00:00+00,Baltimore County,Paradise Assisted Living,2,0,,,,
6490,2020/06/10 14:00:00+00,Baltimore County,Patapsco Valley Center,24,54,,,,
6491,2020/06/10 14:00:00+00,Baltimore County,"PowerBack Rehabilitation, Brightwood Campus",0,3,,,,
6492,2020/06/10 14:00:00+00,Baltimore County,Ridgeway Manor,13,19,,,,
6493,2020/06/10 14:00:00+00,Baltimore County,Stella Maris,29,27,,,,
6494,2020/06/10 14:00:00+00,Baltimore County,Summit Park Health & Rehabilitation Center,16,23,,,,
6495,2020/06/10 14:00:00+00,Baltimore County,Sunrise of Pikesville,9,8,,,,
6496,2020/06/10 14:00:00+00,Baltimore County,Village at Augsburg -- Nursing Home,44,77,,,,
6497,2020/06/10 14:00:00+00,Baltimore County,Woodholme Garden,1,0,,,,
6498,2020/06/10 14:00:00+00,Calvert,Asbury Solomons,2,0,,,,
6499,2020/06/10 14:00:00+00,Calvert,Solomons Nursing Center,1,1,,,,
6500,2020/06/10 14:00:00+00,Caroline,Autumn Lake Healthcare at Denton,0,1,,,,
6501,2020/06/10 14:00:00+00,Carroll,Birch Manor Healthcare Center,0,20,,,,
6502,2020/06/10 14:00:00+00,Carroll,Brinton Woods Health & Rehabilitation Center at Winfield,2,29,,,,
6503,2020/06/10 14:00:00+00,Carroll,Carroll Lutheran Village,15,44,,,,
6504,2020/06/10 14:00:00+00,Carroll,Central Maryland Correctional Facility (Formerly CLF),,,17,,7,
6505,2020/06/10 14:00:00+00,Carroll,Copper Ridge,1,3,,,,
6506,2020/06/10 14:00:00+00,Carroll,Fairhaven,29,45,,,,
6507,2020/06/10 14:00:00+00,Carroll,Longview Nursing Home Inc.,24,37,,,,
6508,2020/06/10 14:00:00+00,Carroll,Lorien Mount Airy,17,14,,,,
6509,2020/06/10 14:00:00+00,Carroll,Lorien Taneytown,0,2,,,,
6510,2020/06/10 14:00:00+00,Carroll,Pleasant View Nursing Home,2,1,,,,
6511,2020/06/10 14:00:00+00,Carroll,Silver Oak Academy,18,27,,,,
6512,2020/06/10 14:00:00+00,Carroll,Springfield Hospital Center,,,16,5,,
6513,2020/06/10 14:00:00+00,Carroll,Westminster Healthcare Center,13,89,,,,
6514,2020/06/10 14:00:00+00,Cecil,Calvert Manor Healthcare Center,28,101,,,,
6515,2020/06/10 14:00:00+00,Charles,Genesis La Plata,8,0,,,,
6516,2020/06/10 14:00:00+00,Charles,Restore Health Rehabilitation Center,6,10,,,,
6517,2020/06/10 14:00:00+00,Charles,The Charleston Senior Community,10,34,,,,
6518,2020/06/10 14:00:00+00,Dorchester,Chesapeake Woods Center,6,5,,,,
6519,2020/06/10 14:00:00+00,Dorchester,Signature Healthcare at Mallard Bay,2,0,,,,
6520,2020/06/10 14:00:00+00,Frederick,Ballenger Creek - Genesis Healthcare,53,89,,,,
6521,2020/06/10 14:00:00+00,Frederick,Buckingham's Choice,3,0,,,,
6522,2020/06/10 14:00:00+00,Frederick,Country Meadows of Frederick,22,30,,,,
6523,2020/06/10 14:00:00+00,Frederick,Frederick Health and Rehabilitation Center,1,0,,,,
6524,2020/06/10 14:00:00+00,Frederick,HeartFields Assisted Living at Frederick,18,10,,,,
6525,2020/06/10 14:00:00+00,Frederick,Homewood at Frederick,47,43,,,,
6526,2020/06/10 14:00:00+00,Frederick,Northampton Manor Nursing and Rehabilitation Center,25,76,,,,
6527,2020/06/10 14:00:00+00,Frederick,Somerford House Frederick,8,3,,,,
6528,2020/06/10 14:00:00+00,Garrett,Dennett Road Manor,3,4,,,,
6529,2020/06/10 14:00:00+00,Howard,Arbor Terrace Fulton,12,16,,,,
6530,2020/06/10 14:00:00+00,Howard,Ellicott City Healthcare Center,35,110,,,,
6531,2020/06/10 14:00:00+00,Howard,HeartLands Senior Living Village at Ellicott City,1,2,,,,
6532,2020/06/10 14:00:00+00,Howard,Howard County Detention Center,,,3,0,,
6533,2020/06/10 14:00:00+00,Howard,Lorien Columbia,8,26,,,,
6534,2020/06/10 14:00:00+00,Howard,Lutheran Village at Miller's Grant,7,3,,,,
6535,2020/06/10 14:00:00+00,Howard,Morningside House of Ellicott City,9,19,,,,
6536,2020/06/10 14:00:00+00,Howard,Residences at Vantage Point,21,6,,,,
6537,2020/06/10 14:00:00+00,Howard,Shangri-La Assisted Living,7,10,,,,
6538,2020/06/10 14:00:00+00,Howard,Somerford Place Columbia,7,22,,,,
6539,2020/06/10 14:00:00+00,Howard,Sunrise of Columbia,10,17,,,,
6540,2020/06/10 14:00:00+00,Kent,Heron Point of Chestertown,1,0,,,,
